farmer_id,farmer_name,phone,group_id,enrolled_date
F-00001,Were Sifuna,+254783844776,G-0001,2023-09-27
F-00002,Wekesa Kagabo,+254768086755,G-0001,2024-03-11
F-00003,Okello Khaemba,+254794463972,G-0001,2023-04-17
F-00004,Wekesa Masaba,+254766498693,G-0001,2024-06-24
F-00005,Cheruiyot Khaemba,+254711691272,G-0001,2025-05-14
F-00006,Okello Rotich,+254712938006,G-0001,2023-09-12
F-00007,Nanjala Barasa,+254766171165,G-0001,2024-05-08
F-00008,Nabirye Rotich,+254744590206,G-0001,2024-04-19
F-00009,Musimenta Khaemba,+254782581148,G-0001,2023-03-24
F-00010,Kipruto Nandwa,+254745388293,G-0001,2024-09-14
F-00011,Chelimo Nandwa,+254757381837,G-0001,2025-05-22
F-00012,Okello Cherop,+254781760572,G-0001,2024-08-04
F-00013,Odhiambo Chemutai,+254780110804,G-0002,2023-10-11
F-00014,Wasswa Wangila,+254728556061,G-0002,2024-05-18
F-00015,Adhiambo Nabukenya,+254744222301,G-0002,2025-05-11
F-00016,Kiptoo Mutai,+254750104228,G-0002,2024-06-30
F-00017,Jepkosgei Okello,+254762835465,G-0002,2024-10-21
F-00018,Nasimiyu Wanyama,+254743211950,G-0002,2024-08-23
F-00019,Achieng Chemutai,+254777129104,G-0002,2025-05-11
F-00020,Kirabo Makokha,+254772932773,G-0002,2024-03-15
F-00021,Nasimiyu Makokha,+254750291199,G-0002,2024-01-31
F-00022,Nafula Wangila,+254793168232,G-0002,2024-03-04
F-00023,Atieno Otieno,+254722076572,G-0002,2024-05-30
F-00024,Mukamana Ntawukuriryayo,+254701100433,G-0002,2024-09-22
F-00025,Wekesa Sifuna,+254709779995,G-0002,2023-08-17
F-00026,Barasa Omondi,+254783678950,G-0002,2023-12-27
F-00027,Masika Watulo,+254726529096,G-0003,2025-03-04
F-00028,Otieno Hakizimana,+254727539745,G-0003,2024-02-18
F-00029,Adhiambo Okello,+254750853856,G-0003,2024-06-28
F-00030,Were Mukamurenzi,+254717004493,G-0003,2025-06-19
F-00031,Nafula Ntawukuriryayo,+254724256049,G-0003,2024-09-06
F-00032,Wanjiru Namunyu,+254716181107,G-0003,2023-10-06
F-00033,Adhiambo Situma,+254781081933,G-0003,2023-11-22
F-00034,Habimana Barasa,+254792909323,G-0003,2023-05-25
F-00035,Chepkoech Simiyu,+254723391825,G-0003,2025-06-03
F-00036,Chelimo Kirya,+254782883731,G-0003,2023-04-17
F-00037,Wanyama Bizimana,+254746835783,G-0003,2025-06-18
F-00038,Nakato Kiplagat,+254799572484,G-0003,2023-03-31
F-00039,Auma Chemutai,+254727957545,G-0003,2024-07-07
F-00040,Uwimana Ntawukuriryayo,+254750457968,G-0004,2025-04-05
F-00041,Nakato Sifuna,+254783020160,G-0004,2025-02-18
F-00042,Nanjala Wekesa,+254716790021,G-0004,2024-06-03
F-00043,Naliaka Namulundu,+254722275390,G-0004,2024-05-24
F-00044,Ingabire Ntawukuriryayo,+254771053280,G-0004,2023-07-30
F-00045,Habimana Situma,+254745007448,G-0004,2024-08-14
F-00046,Masika Otieno,+254765896683,G-0005,2024-06-04
F-00047,Jepkosgei Cherop,+254779780733,G-0005,2025-02-13
F-00048,Nanjala Ntawukuriryayo,+254772650948,G-0005,2024-06-30
F-00049,Jepkosgei Khaemba,+254795146905,G-0005,2024-04-08
F-00050,Wasswa Makokha,+254746892511,G-0005,2024-04-15
F-00051,Nafula Omondi,+254741735149,G-0005,2023-06-22
F-00052,Mukamana Simiyu,+254769996778,G-0006,2023-08-31
F-00053,Namusoke Namulundu,+254742576361,G-0006,2025-03-23
F-00054,Nasimiyu Situma,+254739636300,G-0006,2024-12-27
F-00055,Chepkoech Masaba,+254745379273,G-0006,2024-10-10
F-00056,Ingabire Wangila,+254701672534,G-0006,2023-06-13
F-00057,Mugisha Cherop,+254740422986,G-0006,2025-01-26
F-00058,Naliaka Chemutai,+254783009615,G-0007,2023-12-28
F-00059,Mugisha Mutai,+254766683967,G-0007,2023-08-22
F-00060,Nasimiyu Uwimana,+254758364502,G-0007,2025-05-06
F-00061,Habimana Kirya,+254750786446,G-0007,2024-08-03
F-00062,Nakato Kiplagat,+254757201482,G-0007,2023-11-28
F-00063,Niyonzima Barasa,+254711418886,G-0007,2025-03-14
F-00064,Amongi Wekesa,+254735762963,G-0007,2024-07-22
F-00065,Wasswa Wekesa,+254717565406,G-0007,2023-12-08
F-00066,Nakato Kirya,+254716170934,G-0007,2024-02-13
F-00067,Chelimo Khaemba,+254776153549,G-0007,2025-04-27
F-00068,Uwase Barasa,+254716283834,G-0007,2023-08-15
F-00069,Simiyu Namulundu,+254712552562,G-0007,2025-05-01
F-00070,Niyonzima Barasa,+254703554601,G-0007,2024-04-04
F-00071,Ndayisenga Hakizimana,+254754249645,G-0007,2025-06-19
F-00072,Musimenta Wafula,+254731956808,G-0008,2024-12-01
F-00073,Kipruto Cherop,+254796673626,G-0008,2024-04-23
F-00074,Habimana Omondi,+254790134609,G-0008,2025-05-06
F-00075,Kiptoo Khaemba,+254734555190,G-0008,2023-07-24
F-00076,Nakato Masaba,+254704712893,G-0008,2023-09-06
F-00077,Namusoke Cherop,+254760392765,G-0008,2023-04-10
F-00078,Musimenta Kiplagat,+254795094231,G-0008,2023-03-22
F-00079,Auma Nandwa,+254732120363,G-0008,2024-09-24
F-00080,Naliaka Ntawukuriryayo,+254700599017,G-0008,2023-07-23
F-00081,Masika Sifuna,+254747171598,G-0009,2024-07-31
F-00082,Mutesi Omondi,+254784496704,G-0009,2025-05-11
F-00083,Wanjiru Chemutai,+254739668208,G-0009,2024-03-26
F-00084,Chepkoech Chemutai,+254757004012,G-0009,2024-05-24
F-00085,Wanjiru Mutai,+254703475118,G-0009,2025-05-10
F-00086,Cheruiyot Wanyonyi,+254778471489,G-0009,2024-01-22
F-00087,Wanyama Otieno,+254723582571,G-0010,2025-05-16
F-00088,Auma Ntawukuriryayo,+254707846022,G-0010,2023-05-30
F-00089,Wasswa Nsengimana,+254784796715,G-0010,2024-01-03
F-00090,Achieng Nsengimana,+254799658882,G-0010,2023-10-07
F-00091,Mutesi Omondi,+254779150658,G-0010,2023-08-13
F-00092,Chepkoech Chemutai,+254733780884,G-0010,2023-04-30
